compound,conc_M,real_effect,vehicle,effect_floor,delta,class,class_raw,class_absolute_floor,q_value,necessary_level,necessary_level_verdict,non_monotone,p_sign,p_sign_wm,p_weight,p_degree,p_ER,q_weight,q_degree,verdict_weight,verdict_degree
imidacloprid,1e-07,-11.47357179820895,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.07641196013289037,0.9136212624584718,0.07641196013289037,0.0033222591362126247,0.0033222591362126247,0.12463310002257846,0.006489994591671174,indeterminate,distinguishable
imidacloprid,1e-06,-12.23073546730731,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.06312292358803986,0.8903654485049833,0.06976744186046512,0.0033222591362126247,0.0033222591362126247,0.11491108071135431,0.006489994591671174,indeterminate,distinguishable
imidacloprid,1e-05,-12.23073546730731,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.06312292358803986,0.8903654485049833,0.06976744186046512,0.0033222591362126247,0.0033222591362126247,0.11491108071135431,0.006489994591671174,indeterminate,distinguishable
ivermectin,1e-08,-0.03484237201594986,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,composition-dominated,0.06601650412603151,none_required,,False,0.292358803986711,0.3488372093023256,0.036544850498338874,0.3521594684385382,0.6644518272425249,0.06601650412603151,0.41959426026719443,equivalent_within_tolerance,equivalent_within_tolerance
ivermectin,1e-07,-0.17961943494856492,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,wiring_with_weighted_transmitter_balance,equivalent_within_tolerance,False,0.5083056478405316,0.4418604651162791,0.009966777408637873,0.0033222591362126247,0.0033222591362126247,0.018604651162790697,0.006489994591671174,distinguishable,distinguishable
ivermectin,1e-06,-0.7435498908369098,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,wiring_with_weighted_transmitter_balance,equivalent_within_tolerance,False,0.7807308970099668,0.8338870431893688,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
ivermectin,1e-05,-1.2358102786765368,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,wiring_with_weighted_transmitter_balance,equivalent_within_tolerance,False,0.5249169435215947,0.9102990033222591,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
nicotine,1e-08,0.22089178394916686,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,equivalent_within_tolerance,False,0.9069767441860465,0.6810631229235881,0.2857142857142857,0.0033222591362126247,0.0033222591362126247,0.35968992248062015,0.006489994591671174,equivalent_within_tolerance,distinguishable
nicotine,1e-07,-0.6120735745119354,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,equivalent_within_tolerance,False,0.867109634551495,0.7043189368770764,0.2558139534883721,0.0033222591362126247,0.0033222591362126247,0.35968992248062015,0.006489994591671174,equivalent_within_tolerance,distinguishable
nicotine,1e-06,-11.029611556363646,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.07641196013289037,0.9302325581395349,0.07973421926910298,0.0033222591362126247,0.0033222591362126247,0.12637121544537078,0.006489994591671174,indeterminate,distinguishable
nicotine,1e-05,-12.23073546730731,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.06312292358803986,0.8903654485049833,0.06976744186046512,0.0033222591362126247,0.0033222591362126247,0.11491108071135431,0.006489994591671174,indeterminate,distinguishable
nitenpyram,1e-08,0.45339694651465123,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,equivalent_within_tolerance,False,0.9302325581395349,0.6744186046511628,0.28903654485049834,0.0033222591362126247,0.0033222591362126247,0.35968992248062015,0.006489994591671174,equivalent_within_tolerance,distinguishable
nitenpyram,1e-07,-7.375166864803854,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.2292358803986711,0.9501661129568106,0.14950166112956811,0.0033222591362126247,0.0033222591362126247,0.22832980972515857,0.006489994591671174,indeterminate,distinguishable
nitenpyram,1e-06,-12.23073546730731,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.06312292358803986,0.8903654485049833,0.06976744186046512,0.0033222591362126247,0.0033222591362126247,0.11491108071135431,0.006489994591671174,indeterminate,distinguishable
nitenpyram,1e-05,-12.23073546730731,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.06312292358803986,0.8903654485049833,0.06976744186046512,0.0033222591362126247,0.0033222591362126247,0.11491108071135431,0.006489994591671174,indeterminate,distinguishable
